region,status,time_minutes,total_reaches,total_segments,total_length_km,Freshwater (No Salinity Data)_reaches,Freshwater (No Salinity Data)_length_km,Freshwater (Non-Tidal)_reaches,Freshwater (Non-Tidal)_length_km,Oligohaline (Tidal Freshwater Zone)_reaches,Oligohaline (Tidal Freshwater Zone)_length_km,Mesohaline (Upper Estuary)_reaches,Mesohaline (Upper Estuary)_length_km,reaches_with_width,avg_width_m,max_width_m
AF,success,20.846548096338907,4523071,351079,4101516.5618583937,4456219,4041086.178744627,56030.0,50664.407534412,10351.0,9350.135148091,471.0,415.840431263,4522968,144.16533103059768,183082.0
AS,success,19.050965535640717,4167977,353786,3758710.051850243,4150899,3743413.867259105,15484.0,13858.478092336,957.0,860.9321917450001,637.0,576.774307059,4167791,67.38094335829219,29906.6
EU,success,8.912507704893748,1922186,150316,1732996.37539894,1652732,1490851.6742852947,249180.0,223835.0108415571,18994.0,17152.981624065,1280.0,1156.708648023,1922128,127.51447658886401,92371.3
NA,success,15.00472153822581,3315665,302879,2964402.23135879,3169315,2832921.238085401,117365.0,105349.41633600401,24121.0,21788.133453262002,4864.0,4343.443484125,3315488,412.8076872714364,166406.0
SA,success,12.481375483671824,2738183,237889,2459799.851025706,2669731,2398262.048429298,58299.0,52292.16421991701,9434.0,8592.441559408,719.0,653.19681708,2738104,119.80637973035353,54027.7
SI,success,10.227381936709087,2206046,235114,1961340.5674550573,2206046,1961340.5674550573,,,,,,,2205896,123.73693715905009,74266.5
SP,success,8.171315248807272,1661653,133006,1501499.464608066,1649568,1490624.273793857,12085.0,10875.190814208001,,,,,1661583,45.09626263400625,17812.8
